#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 09 11 50  36  5.7  6.8  1.01  5.26  4.05 999 1027.5   4.6   8.8 999.0 99.0 99.00
2012 01 09 12 50  36  5.4  6.6  0.96  5.26  4.18 999 1027.4   4.7   8.8 999.0 99.0 99.00
2012 01 09 13 50  32  2.8  3.9  0.93  5.26  4.29 999 1027.9   4.8   8.7 999.0 99.0 99.00
2012 01 09 14 50  20  2.9  4.1  0.86  5.00  4.31 999 1027.9   5.1   8.7 999.0 99.0 99.00
2012 01 09 15 50  39  4.0  5.3  0.81  4.76  4.21 999 1026.9   5.2   8.9 999.0 99.0 99.00
2012 01 09 16 50  26  4.0  5.3  0.73  5.00  4.11 999 1026.1   5.2   8.9 999.0 99.0 99.00
2012 01 09 17 50  18  3.6  5.0  0.67  5.26  4.13 999 1025.3   5.0   8.8 999.0 99.0 99.00
2012 01 09 18 50  42  3.3  4.3  0.59  4.55  4.05 999 1024.5   5.1   8.9 999.0 99.0 99.00
2012 01 09 19 50  32  3.0  4.5  0.58 10.00  4.21 999 1024.0   5.3   8.9 999.0 99.0 99.00
2012 01 09 20 50  43  3.2  3.9  0.51 10.00  4.16 999 1022.7   5.3   9.0 999.0 99.0 99.00
2012 01 09 21 50  51  2.6  3.5  0.49 10.00  4.51 999 1022.1   5.5   8.9 999.0 99.0 99.00
2012 01 09 22 50  44  1.7  2.8  0.45  9.09  4.47 999 1022.2   5.5   8.9 999.0 99.0 99.00
2012 01 09 23 50   6  2.5  3.5  0.44  9.09  4.51 999 1021.9   5.1   9.0 999.0 99.0 99.00
2012 01 10 00 50  27  3.0  4.1  0.44 10.81  4.93 999 1020.6   4.7   9.0 999.0 99.0 99.00
2012 01 10 01 50  23  3.6  5.0  0.43  9.09  4.82 999 1019.8   5.1   8.9 999.0 99.0 99.00
2012 01 10 02 50  19  3.8  5.0  0.45  5.26  4.77 999 1019.3   5.1   8.8 999.0 99.0 99.00
2012 01 10 03 50  10  4.6  5.4  0.47 10.00  4.26 999 1018.6   4.2   8.9 999.0 99.0 99.00
